,city,mobility_type,t,h(t),f(t),S(t),F(t),f(t)_poly_2,f(t)_poly_3,f(t)_poly_4,h(t)_poly,f(t)_ma,h(t)_ma,Qmax,Mass,Delta
621,Dallas County,workplaces_percent_change_from_baseline,121.0,-0.2948717948717949,-0.13690476190476192,0.4642857142857143,0.5357142857142857,0.0018963537274451373,0.00016486314036063664,-0.00017006257375138528,0.004084454182189526,0.00029761904761904515,0.0006410256410256357,-81.0,-81.0,-36.0
622,Dallas County,workplaces_percent_change_from_baseline,122.0,0.012820512820512895,0.005952380952380987,0.4642857142857143,0.5357142857142857,0.0019044192352059936,0.00019833788661890962,-0.00011852883974488356,0.0041018260450590635,0.0005952380952380945,0.0012820512820512805,-81.0,-81.0,-36.0
623,Dallas County,workplaces_percent_change_from_baseline,123.0,-0.01315789473684206,-0.005952380952380931,0.45238095238095233,0.5476190476190477,0.0019118678138780988,0.0002321826498322332,-6.629477319811897e-05,0.004226234114888429,-1.3877787807814458e-18,-3.0677215154116174e-18,-81.0,-81.0,-36.0
624,Dallas County,workplaces_percent_change_from_baseline,124.0,-0.012500000000000074,-0.005952380952380987,0.47619047619047616,0.5238095238095238,0.001918699463461453,0.00026637295951962214,-1.3401482884560154e-05,0.004029268873269052,-0.008333333333333335,-0.017500000000000005,-81.0,-81.0,-36.0
625,Dallas County,workplaces_percent_change_from_baseline,125.0,0.30769230769230765,0.14285714285714285,0.4642857142857143,0.5357142857142857,0.0019249141839560568,0.00030088434520009026,4.010987921414244e-05,0.0041459690115976605,-0.007440476190476194,-0.016025641025641035,-81.0,-81.0,-36.0
626,Dallas County,workplaces_percent_change_from_baseline,126.0,0.6875000000000002,0.130952380952381,0.19047619047619047,0.8095238095238095,0.001930511975361909,0.00033569233639265273,9.419811790814612e-05,0.010135187870650023,0.006845238095238094,0.0359375,-81.0,-81.0,-36.0
627,Dallas County,workplaces_percent_change_from_baseline,127.0,-0.7941176470588238,-0.16071428571428573,0.20238095238095233,0.7976190476190477,0.00193549283767901,0.0003707724626163247,0.00014882199479943157,0.00956361166853158,0.005357142857142859,0.026470588235294135,-81.0,-81.0,-36.0
628,Dallas County,workplaces_percent_change_from_baseline,128.0,-0.30232558139534893,-0.1547619047619048,0.5119047619047619,0.4880952380952381,0.00193985677090736,0.0004061002533901196,0.00020394022828178638,0.003789487645493448,-0.0026785714285714316,-0.00523255813953489,-81.0,-81.0,-36.0
629,Dallas County,workplaces_percent_change_from_baseline,129.0,0.046511627906976744,0.023809523809523808,0.5119047619047619,0.4880952380952381,0.001943603775046959,0.0004416512382330517,0.00025951149354081805,0.0037968073745103387,-0.0011904761904761945,-0.0023255813953488454,-81.0,-81.0,-36.0
630,Dallas County,workplaces_percent_change_from_baseline,130.0,0.02564102564102561,0.01190476190476189,0.4642857142857143,0.5357142857142857,0.0019467338500978068,0.0004774009466641366,0.0003154944225539453,0.004192965215595276,-0.0005952380952381001,-0.0012820512820512925,-81.0,-81.0,-36.0
631,Dallas County,workplaces_percent_change_from_baseline,131.0,0.0,0.0,0.48809523809523814,0.5119047619047619,0.0019492469960599036,0.0005133249082023882,0.00037184760409040597,0.003993579211439802,-0.007738095238095243,-0.015853658536585373,-81.0,-81.0,-36.0
632,Dallas County,workplaces_percent_change_from_baseline,132.0,0.32051282051282054,0.14880952380952384,0.4642857142857143,0.5357142857142857,0.0019511432129332494,0.000549398652366822,0.0004285295837112473,0.0042024623047793065,-0.00625,-0.013461538461538462,-81.0,-81.0,-36.0
633,Dallas County,workplaces_percent_change_from_baseline,133.0,0.7187500000000001,0.13690476190476192,0.19047619047619047,0.8095238095238095,0.001952422500717844,0.0005855977086764511,0.00048549886376933384,0.010250218128768682,0.007142857142857141,0.03749999999999999,-81.0,-81.0,-36.0
634,Dallas County,workplaces_percent_change_from_baseline,134.0,-0.7812500000000002,-0.14880952380952384,0.19047619047619047,0.8095238095238095,0.0019530848594136877,0.0006218976066502909,0.0005427139034093423,0.010253695511921861,0.005654761904761901,0.02968749999999998,-81.0,-81.0,-36.0
635,Dallas County,workplaces_percent_change_from_baseline,135.0,-0.30487804878048785,-0.14880952380952384,0.48809523809523814,0.5119047619047619,0.0019531302890207804,0.0006582738758073546,0.0006001331185677711,0.004001535226286476,-0.0020833333333333385,-0.004268292682926839,-81.0,-81.0,-36.0
636,Dallas County,workplaces_percent_change_from_baseline,136.0,0.012195121951219582,0.005952380952380987,0.48809523809523814,0.5119047619047619,0.0019525587895391217,0.0006947020456666594,0.0006577148819729237,0.004000364349299663,-0.0014880952380952397,-0.003048780487804881,-81.0,-81.0,-36.0
637,Dallas County,workplaces_percent_change_from_baseline,137.0,-0.037499999999999985,-0.01785714285714285,0.47619047619047616,0.5238095238095238,0.0019513703609687124,0.0007311576457472166,0.0007154175231449253,0.0040978777580342966,-0.002380952380952382,-0.005000000000000003,-81.0,-81.0,-36.0
638,Dallas County,workplaces_percent_change_from_baseline,138.0,-0.20454545454545456,-0.10714285714285715,0.5238095238095238,0.47619047619047616,0.0019495650033095513,0.0007676162055680427,0.0007731993283957113,0.003721896824500052,-0.01517857142857143,-0.02897727272727273,-81.0,-81.0,-36.0
639,Dallas County,workplaces_percent_change_from_baseline,139.0,0.07758620689655177,0.0535714285714286,0.6904761904761905,0.30952380952380953,0.0019471427165616401,0.0008040532546481523,0.0008310185408290389,0.002819999796399617,-0.01875,-0.027155172413793102,-81.0,-81.0,-36.0
640,Dallas County,workplaces_percent_change_from_baseline,140.0,0.5,0.20833333333333331,0.41666666666666663,0.5833333333333334,0.0019441035007249766,0.0008404443225065589,0.0008888333603404679,0.0046658484017399445,-0.0008928571428571438,-0.002142857142857145,-81.0,-81.0,-36.0
641,Dallas County,workplaces_percent_change_from_baseline,141.0,-0.23913043478260873,-0.0654761904761905,0.27380952380952384,0.7261904761904762,0.001940447355799563,0.0008767649386622776,0.0009466019436173865,0.00708685121248536,0.0026785714285714273,0.009782608695652168,-81.0,-81.0,-36.0
642,Dallas County,workplaces_percent_change_from_baseline,142.0,-0.22826086956521738,-0.125,0.5476190476190477,0.4523809523809524,0.001936174281785399,0.0009129906326343232,0.0010042824041389831,0.003535622601521163,-0.0038690476190476218,-0.007065217391304352,-81.0,-81.0,-36.0
643,Dallas County,workplaces_percent_change_from_baseline,143.0,0.056818181818181775,0.02976190476190474,0.5238095238095238,0.47619047619047616,0.0019312842786824822,0.0009490969339417104,0.0010618328121762728,0.0036869972593029203,-0.0020833333333333385,-0.003977272727272737,-81.0,-81.0,-36.0
644,Dallas County,workplaces_percent_change_from_baseline,144.0,0.012195121951219525,0.005952380952380959,0.48809523809523814,0.5119047619047619,0.0019257773464908157,0.0009850593721034539,0.0011192111947920828,0.003945495051347036,-0.001488095238095241,-0.003048780487804884,-81.0,-81.0,-36.0
645,Dallas County,workplaces_percent_change_from_baseline,145.0,0.0,0.0,0.5119047619047619,0.4880952380952381,0.001919653485210397,0.001020853476638565,0.0011763755358410498,0.0037500207618063573,-0.008630952380952383,-0.016860465116279075,-81.0,-81.0,-36.0
646,Dallas County,workplaces_percent_change_from_baseline,146.0,0.3170731707317074,0.1547619047619048,0.48809523809523814,0.5119047619047619,0.001912912694841228,0.0010564547770660609,0.0012332837759696305,0.003919138204064955,-0.0074404761904761935,-0.015243902439024395,-81.0,-81.0,-36.0
647,Dallas County,workplaces_percent_change_from_baseline,147.0,0.6470588235294121,0.130952380952381,0.20238095238095233,0.7976190476190477,0.0019055549753833074,0.0010918388029049582,0.001289893812616091,0.009415683407776345,0.007142857142857143,0.03529411764705883,-81.0,-81.0,-36.0
648,Dallas County,workplaces_percent_change_from_baseline,148.0,-0.6842105263157897,-0.1547619047619048,0.22619047619047616,0.7738095238095238,0.0018975803268366366,0.001126981083674268,0.0013461635000105183,0.008389302497593553,0.0071428571428571435,0.03157894736842106,-81.0,-81.0,-36.0
649,Dallas County,workplaces_percent_change_from_baseline,149.0,-0.2790697674418605,-0.14285714285714288,0.5119047619047619,0.4880952380952381,0.001888988749201214,0.0011618571488930052,0.001402050649174813,0.003690117556579116,-0.0011904761904761919,-0.00232558139534884,-81.0,-81.0,-36.0
650,Dallas County,workplaces_percent_change_from_baseline,150.0,0.023255813953488344,0.01190476190476189,0.5119047619047619,0.4880952380952381,0.0018797802424770408,0.0011964425280801862,0.0014575130279226804,0.0036721288457691034,-0.0011904761904761919,-0.00232558139534884,-81.0,-81.0,-36.0
651,Dallas County,workplaces_percent_change_from_baseline,151.0,0.0,0.0,0.48809523809523814,0.5119047619047619,0.0018699548066641158,0.0012307127507548248,0.0015125083608596539,0.003831126920970383,-0.0011904761904761919,-0.002439024390243905,-81.0,-81.0,-36.0
